id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
67500416536387568990,38.49567,44.34728,SN,TNS,1,0.0816844900532553,-9999,17.8,17.78595,16.76409,17.08299,16.62848,23.20144
84659433209098718272,164.02308,14.49034,SN,TNS,1,0.0677482620255551,0.068895,18.9957,18.88529,17.62433,17.12012,16.81582,16.67973
38627422103486734833,40.70058,28.57383,SN,TNS,1,0.0426824689115299,0.01461,18.0,14.84023,13.1938,12.27962,11.78789,11.42576
50325652303779464073,226.16704,12.63167,SN,TNS,1,0.0930353395178318,0.184957,16.6,23.12216,20.97743,20.24577,19.81489,19.56708
80033020331308195689,4.35708,-0.97714,SN,TNS,0,0.0394677678052007,0,16.8,22.37787,21.63295,21.44864,21.77667,22.39604
30537751217504368285,359.39479,2.08644,SN,TNS,0,0.0308416067680943,0,18.62,22.72868,22.12626,21.79661,21.16144,21.69746
56351610476789171139,8.68612,-6.15955,SN,TNS,1,0.0690431686762335,0.064954,17.9,20.42851,18.64369,18.15514,17.86342,17.73354
93367971824069371172,207.02496,7.38789,SN,TNS,1,0.0261216847318957,0.022806,16.4,17.67653,16.6405,16.25307,16.05741,15.98534
53124290615930897187,32.29125,31.99764,SN,TNS,0,0.0300332115084812,0,18.7,23.36601,22.0159,22.01334,22.04332,22.04846
31304302580072601151,128.32625,19.34578,SN,TNS,1,0.0378065337725929,-9999,17.9,17.35981,16.86901,16.69604,16.75267,16.67516
22054366863764097118,1.47329,8.43016,SN,TNS,1,0.00650773863350205,0.18649,17.8559,23.86082,21.6171,21.09064,20.99527,20.67951
82467292154455677973,176.26492,19.97372,SN,TNS,1,0.0702024878073042,0.008914,15.7,15.68662,13.74176,12.89457,12.46814,12.16084
88232461055143871906,259.45792,40.88111,SN,TNS,1,0.0295661825412267,0.076598,16.6,19.31735,18.18669,17.68253,17.40855,17.37471
14533545157743867614,236.57296,10.75958,SN,TNS,0,0.0197029246095416,0,17.5,21.54966,21.23974,21.12537,21.76019,21.22614
18665457170316811213,119.85175,16.41894,SN,TNS,1,0.0722856984371035,0.568509,18.4,20.3773,20.4386,20.14682,20.24549,19.70332
98145491205169965206,150.53321,11.95144,SN,TNS,1,0.00587508820933362,0.342662,18.0,24.27905,23.13463,22.27053,22.03206,21.80253
69629009782123281889,263.33696,44.10456,SN,TNS,0,0.0323081401749111,0,17.9,22.848,22.30014,22.15887,23.05207,22.65899
58343716521528994500,54.73183,16.82875,SN,TNS,1,0.0544461831822168,0.772185,18.0,24.03136,22.60586,22.52992,21.66356,21.19603
14038672109637440763,354.05838,23.69594,SN,TNS,1,0.0102753188104843,0.062926,19.49,18.80106,17.46264,16.89517,16.54866,16.33495
56199478991680536802,113.06225,25.90406,SN,TNS,1,0.0922308431506381,0.021282,18.3,16.98962,15.85553,15.59562,15.31765,15.42249
40278070263029852015,43.19171,46.93119,SN,TNS,0,0.0635673877971193,0,17.7,25.09956,22.9756,22.18478,21.47754,20.55634
