id,label,ra,dec,mag,SDSS objid,SDSS type,SDSS offset,SDSS ra,SDSS dec,SDSS redshift,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS err_u,SDSS err_g,SDSS err_r,SDSS err_i,SDSS err_z,SDSS err_redshift
61618694745155098301,OTHER TRANSIENT,171.58099571905268,8.780727562637153,22.3552,1237660612900618666,6,0.00563874742861313,171.58106558524,8.78079131639215,0,22.20423,21.8377,21.84425,22.27937,21.31166,0.2590081,0.08198363,0.1447818,0.301807,0.41539,0
86764334671770546805,SN,126.92512,21.48744,15.5,1237674371292135518,6,0.0772607083725864,126.925763104047,21.488580187602,0,24.20272,23.85135,22.82743,22.55749,22.47615,0.9950089,0.3739545,0.2539512,0.2455159,0.6330084,0
53290059775197032333,SN,149.827267937527,2.93466640515352,22.7248,1237654599952695901,3,0.0114158132271378,149.827077427968,2.93466761326701,0.409451,22.20926,21.38569,20.1739,19.6359,19.30898,0.2965957,0.08232472,0.03848057,0.03423943,0.08872962,0.06899
88458851185630800537,SN,137.38825,50.28092,16.1,1237654653642866784,3,0.0135201463714666,137.388414669487,50.2807207431709,0.076541,18.26952,16.86094,15.84192,15.97855,15.79562,0.01817572,0.004447749,0.003515857,0.004526281,0.008062305,0.038212
80988437139593573530,SN,209.29983,4.34081,24.8,1237655125020050178,3,0.152442382901594,209.30037331715,4.3432922746561,0.520662,22.71599,22.466,20.93236,20.08665,19.57427,0.5290844,0.2325284,0.07735787,0.05676233,0.1545497,0.051461
75082879054433437183,SN,36.8042673908102,-4.12884325880984,21.4976,1237679323398996513,3,0.0430273336434588,36.8049587917695,-4.12864651789121,0.177219,21.31654,19.93321,19.14747,18.77456,18.37943,0.2602832,0.0252634,0.01986162,0.02015596,0.0562613,0.053277
97899132527411979378,SN,247.43704,41.77858,18,1237655473430724624,3,0.0679830302507511,247.435779847935,41.7779469851703,0.019004,16.50911,15.65868,15.34283,15.05287,15.29752,0.01018945,0.002969961,0.01445169,0.003366453,0.01383567,0.013309
15589346027593116770,SN,333.407653373605,1.2398573035472,21.355,1237678595931374183,3,0.523338967560776,333.414802451342,1.24485665470823,0.721836,24.47358,22.30643,24.061,23.58819,22.08599,1.692553,0.1649689,0.9220762,0.9118341,0.9071956,0.229264
81875694234936500062,AGN,175.7350201863269,4.3631766997081405,19.1923,1237654604795675373,3,0.00345202467574926,175.734962485423,4.36317678679911,0.352147,22.33132,21.09038,20.87676,20.12118,19.54919,0.3222212,0.05109154,0.0585562,0.04090389,0.08507524,0.204761
92788615362751802480,SN,155.65512,27.3555,16.2,1237667212128747651,3,0.0180443067965006,155.655454622241,27.35554598316,0.289836,17.57348,17.03855,17.42276,19.17431,21.9359,0.03436394,0.01182682,0.02759446,0.2407392,8.854298,0.045693
11212060334684665588,SN,36.23142,0.88542,22.5,1237678617433670224,3,0.113050857720215,36.2310906025922,0.883564828552235,0.381857,24.16886,22.89994,21.23191,20.61017,20.18827,0.8855342,0.151275,0.05906883,0.05050783,0.118075,0.078424
91478226439468551992,SN,163.283571766699,57.2012346611056,22.7706,1237658302205854215,3,0.0101663000476777,163.283259099906,57.2012297974954,0.346652,25.46276,22.17414,20.66637,20.20364,19.95601,0.5609181,0.08446296,0.03249253,0.03308192,0.09398188,0.065984
99632877818136021664,SN,199.33354,20.63606,16.5,1237668273507729494,6,0.0901084019386687,199.334656475189,20.6349812389564,0,22.24207,21.84994,22.56743,24.3618,22.8269,0.2208214,0.07380915,0.2158323,0.8233179,0.658447,0
84304504955048840605,SN,353.44542,0.20444,22.7,1237663784194539992,3,0.0213230175397531,353.445450296942,0.204794089859184,0.714743,22.99676,23.09536,22.35601,23.68047,21.4487,0.347313,0.1712917,0.1413957,0.510322,0.3607446,0.104346
57807039027875557794,SN,241.443,21.48731,16.4,1237665102759264645,3,0.0380868817940023,241.442756734105,21.4879030509005,-9999,21.8448,22.78021,21.95782,21.70731,23.63805,0.3127051,0.2482304,0.1913707,0.2142757,1.047986,-9999
93530514816131044810,SN,216.006437290612,53.4643048717308,22.1493,1237661417676472549,3,0.0227916841223818,216.005908919602,53.4640919129576,0.09424,19.63346,18.45743,17.9773,17.61527,17.48498,0.04622446,0.007907237,0.007849717,0.008255742,0.02683382,0.021455
42427376557789720470,SN,151.63958,7.63422,23.5,1237658491730199412,3,0.116345683202455,151.638389740813,7.63575895406328,-9999,25.33027,24.16361,24.06735,23.97156,20.64096,0.9785677,0.5115054,0.7359942,0.9161932,0.2152699,-9999
24693908546881585964,SN,216.97992,16.20567,18.5,1237668270830911578,6,0.0661660340602219,216.978870735733,16.2052217922748,0,22.71374,22.71905,22.34721,22.77756,22.82689,0.2916485,0.1652495,0.1800763,0.3748974,0.628071,0
80274185228185306733,SN,343.50367,14.65681,20.1,1237656242775720253,3,0.0596267862577191,343.502644563118,14.6567516968346,0.047781,19.18545,18.11778,17.72119,17.46104,17.26259,0.04539023,0.009597426,0.008820693,0.01053037,0.02719446,0.011173
46321537416506822705,SN,30.40312,3.64867,20.1,1237678621703733285,3,0.217267009374661,30.4047304871647,3.6454251097509,0.142367,20.91234,19.7798,19.21753,18.91502,18.7023,0.100293,0.0185585,0.01530118,0.0170722,0.04650897,0.030998
91264486544588301938,SN,176.22423669018113,9.185373953044051,19.4822,1237658491740816221,3,0.0965619538302171,176.225233812652,9.18664719453502,0.382408,24.59222,23.12703,21.4516,21.02395,20.54416,1.897327,0.4134845,0.1394924,0.1280946,0.2751583,0.076324
47259499593562700260,AGN,212.45603029606,53.9936791130776,22.1435,1237661417138684470,3,0.0280072093285652,212.455745652568,53.9932433508041,0.763075,22.51639,21.91002,21.48049,20.66447,20.5433,0.4166659,0.1011447,0.1119979,0.08228627,0.3160123,0.099128
73728252891720205343,SN,352.11837,22.42306,18.3,1237680298888593457,3,0.0539596328349686,352.119291715928,22.4233478199085,-9999,24.63469,20.68562,24.80203,24.36181,22.82692,1.745282,0.04490727,1.183555,1.523921,1.092333,-9999
99583565524865462035,SN,133.63429,36.51142,16.1,1237658204494495949,3,0.134339731389444,133.632640796064,36.5096155514431,0.033567,17.27238,15.5351,14.7652,14.36892,14.03248,0.01470462,0.00277161,0.002375465,0.002368595,0.004208353,0.010698
69009351581208077351,SN,353.40746,0.20106,23.1,1237663784194474784,3,0.0187323426343592,353.407572921766,0.201351069128894,0.450066,22.30904,21.57487,20.63972,20.21015,19.98597,0.4559723,0.1124824,0.07754242,0.07562362,0.2598861,0.086699
46930249590627607340,SN,212.663882835603,53.9895354872264,22.7858,1237661417138749480,3,0.323208850406974,212.672390924721,53.9875368132751,0.371587,24.28991,22.36326,21.7521,21.16777,21.44211,1.093675,0.119817,0.1066243,0.09390333,0.4632968,0.159895
1079716670194394478,SN,19.63583,7.90097,20.7,1237669703199883466,3,0.0578598279297961,19.6354128287337,7.90009868521203,0.143266,20.8809,19.59778,18.93739,18.6193,18.42909,0.1338121,0.02044504,0.01731898,0.02125528,0.06099159,0.035445
44074289086535328013,SN,209.26892,4.51661,23.4,1237654880197674084,3,0.204891601741022,209.270570009687,4.51361740764113,0.161323,23.83088,22.56013,23.11032,21.51223,21.54686,1.549394,0.2589826,0.6032984,0.2040996,0.828032,0.171125
