,id,ra,dec,transient_label,host_label,offset,redshift,transient_mag,u,g,r,i,z
2601,51299462680070481738,231.08546,29.95331,SN,0,0.0762524709880368,0.0,17.5,24.163520000000002,23.26497,22.44012,21.54401,21.207420000000003
2603,70287640976179830787,16.20279,-0.89597,SN,1,0.0072839511372396705,0.096477,21.1,22.75616,19.8956,19.16958,18.910220000000002,19.39752
2610,76055623613024590046,32.61262,-4.28561,SN,1,0.0315231675087853,0.995383,22.9,25.53721,23.696070000000002,23.19942,22.340329999999998,23.103089999999998
2611,27156311014212065519,239.14083,41.89653,SN,1,0.0975607229790336,-9999.0,18.1,21.15697,20.60816,21.23566,21.37579,22.1217
2612,59983510579695563911,36.15104,-4.18192,SN,1,0.0513388590571134,0.141654,22.3,21.28306,19.043870000000002,17.939239999999998,17.328570000000003,16.914460000000002
2616,36100547519584412490,179.45933,25.26531,SN,1,0.0038887007408887103,0.282441,17.1,22.54672,21.43906,20.71864,20.71738,20.45234
2619,2812844866642498120,339.0175,-0.37522,SN,1,0.0409920908437674,0.261006,21.8,20.00972,18.90119,17.90109,17.47326,17.06107
2620,19832822825156043560,352.37321000000003,10.53175,SN,1,0.19375049839843803,0.034374,18.5,16.867070000000002,14.892120000000002,13.954189999999999,13.49528,13.143820000000002
2627,92057097110556802182,177.01446,30.35667,SN,0,0.0460737852173496,0.0,16.3,22.01142,21.48542,21.55919,21.932170000000003,22.18519
2628,30792739966502712350,144.02521000000002,24.40383,SN,0,0.0558043588353989,0.0,20.0,23.70372,22.9379,22.77637,22.22608,21.954179999999997
2631,20962201903471619046,17.61158,-0.56875,SN,1,0.009353567317961341,0.537192,22.6,24.040329999999997,22.92812,21.03354,20.03027,19.63419
2635,93065712719478608061,333.7625,-0.34125,SN,1,0.0323503277930752,0.172597,22.0,21.55566,20.47867,19.81757,19.41517,19.24244
2651,6228232762053236248,320.07275,-1.68408,SN,1,0.0336889487085241,0.025476,16.6,16.69943,14.89744,13.9375,13.431,12.95027
2655,54658074944815502551,323.79900000000004,0.16310999999999998,SN,1,0.0292392280670856,0.24363,22.3,24.67311,20.431160000000002,19.07252,18.47083,18.11206
2656,5125327283619462647,31.56679,-3.87436,SN,1,0.0150592886655393,0.259762,22.3,22.006629999999998,21.189420000000002,20.59599,20.43359,20.18526
2658,67969999485512094523,171.41325,22.830389999999998,SN,0,0.0145292570995486,0.0,17.3,22.2675,22.310579999999998,22.89037,23.54178,22.8269
2660,40804970852483923277,329.94678999999996,-0.73322,SN,1,0.0310345406008323,0.25103000000000003,22.1,24.02424,20.85963,19.64798,19.13579,18.66171
2668,76491348464385279834,320.41354,0.89464,SN,1,0.0521764490406326,0.291819,21.7,21.7417,20.488310000000002,19.37406,19.08594,18.52345
2672,33037033527210818444,324.48567,-0.03247,SN,1,0.0152385041471582,0.098209,22.5,20.30305,18.98935,18.41263,18.0585,17.877370000000003
2685,90859221995717703330,47.12358,0.88894,SN,1,0.00058837786909348,0.6200399999999999,22.1,21.87771,21.72779,21.29221,20.90288,20.94451
