,id,ra,dec,transient_label,survey,host_label,offset,redshift,transient_mag,u,g,r,i,z
2157,47780787698679424189,359.73771,-2.24808,SN,TNS,1,0.0226008240646014,-9999.0,18.7,21.69879,21.570510000000002,21.46122,23.367739999999998,22.82689
2168,24164134521140142628,22.86275,-0.63161,SN,TNS,1,0.0740710318494477,0.377969,22.4,23.68911,22.07415,20.53898,19.832,20.85795
2171,82375929328826329873,0.89592,23.196170000000002,SN,TNS,0,0.0651077728569827,0.0,17.4,21.42364,20.74086,20.46709,21.11062,22.82691
2177,43324610896341639118,39.02025,-0.9941700000000001,SN,TNS,1,0.0368013646792472,0.21871500000000002,22.4,21.46313,19.85039,18.64416,18.14084,17.79412
2182,958000516269688138,208.19921000000002,5.31372,SN,TNS,0,0.0531652282823231,0.0,18.1,24.40064,23.63595,22.34629,22.239639999999998,22.95211
2186,45155300105108161596,243.44046,61.02386,SN,TNS,1,0.0565671137711233,0.024097,16.4,16.84467,15.64649,15.21239,14.989889999999999,14.8182
2187,67789208361064207407,320.51429,5.15169,SN,TNS,1,0.0736284547069532,0.063687,19.6,19.474339999999998,18.15904,17.721120000000003,17.40757,17.33154
2199,16807990311226326508,6.05967,-0.24825,SN,TNS,1,0.0636593186313567,0.202182,23.0,21.02202,19.89953,19.11846,18.7704,18.55733
2205,58123214993461303156,31.910459999999997,-0.324,SN,TNS,1,0.037857298716828,0.152391,20.5,20.07669,19.01551,18.42896,18.0683,17.93158
2207,75894102322242411153,210.21257999999997,22.95789,SN,TNS,1,0.0444647059262645,0.07974400000000001,19.0,19.4999,18.22118,17.708070000000003,17.40149,17.33699
2212,98908501558571683181,354.65971,5.43814,SN,TNS,1,0.0523067844596294,0.151401,18.0,24.63465,22.452820000000003,22.63849,21.75293,21.75026
2218,49645523972733356005,42.66733,-0.06597,SN,TNS,1,0.0460274471505476,0.401798,23.2,22.044829999999997,21.74305,20.72129,20.443379999999998,19.90694
2219,87929503962560440517,178.48225,52.35261,SN,TNS,0,0.00512455863946091,0.0,16.7,22.15244,22.20785,21.520229999999998,20.90025,20.418470000000003
2222,62021117429161147941,351.56171,-0.38225,SN,TNS,1,0.0451464778989185,0.309866,22.2,20.87724,19.91818,18.838,18.41196,17.99237
2224,81747202337711176431,17.057000000000002,18.74083,SN,TNS,1,0.0539379329350663,0.028456,19.4,20.27414,19.28442,19.325470000000003,19.28827,19.8837
2226,50801301744132621547,339.30807999999996,0.73639,SN,TNS,1,0.00589991875268153,0.243959,22.1,22.466089999999998,20.52645,19.12407,18.57904,18.16848
2240,98356903039975381442,2.39458,12.755939999999999,SN,TNS,0,0.0744141573858647,0.0,19.7,23.09129,21.91592,22.57779,22.198729999999998,22.8264
2244,1723423856815858257,32.46383,-3.7256699999999996,SN,TNS,1,0.0255218256270484,0.527807,22.6,24.39704,23.185,21.67675,20.80076,20.14338
2245,79497125968348458641,36.7225,-0.32781,SN,TNS,1,0.007092757833193809,0.277018,22.8,22.92677,21.55999,20.840120000000002,20.51127,20.34965
2246,44723494653984151034,171.56258,27.86853,SN,TNS,0,0.0108455250909652,0.0,17.9,21.817829999999997,18.931070000000002,18.19003,18.03128,18.04415
2248,69085370857491332400,235.26196000000002,0.24956,SN,TNS,1,0.0393985137071988,0.08263999999999999,19.4,21.89656,20.33981,19.85181,19.6701,19.39347
2251,30597332194541935544,359.3415,0.10586,SN,TNS,1,0.00650418718235352,0.22021300000000002,20.6,22.42732,21.608520000000002,21.0694,20.92609,20.81029
2255,93760109906269770709,358.47496,7.956580000000001,SN,TNS,1,0.0550793616195474,0.259914,18.3,24.04447,22.34096,21.81029,21.683410000000002,21.99553
2256,54787638355485785994,20.94183,0.81667,SN,TNS,1,0.0329371152375884,0.435408,23.0,25.19879,22.56774,20.93761,20.19722,19.82038
2258,35445160797320534291,8.39188,0.98492,SN,TNS,1,0.0156407091456306,0.13963,21.0,21.34854,20.04872,19.49043,19.06982,19.22545
2261,20887226652673036749,52.09033,-0.32608000000000004,SN,TNS,0,0.0467696396454265,0.0,22.2,23.40285,21.45114,20.4097,20.0605,19.9287
2266,82557641917337475409,323.29487,-0.96014,SN,TNS,1,0.0124071792051911,0.171977,20.8,21.74557,20.54542,19.88206,19.511020000000002,19.28302
2270,90488853589328986828,4.75346,-0.2815,SN,TNS,1,0.0873434151462132,0.423679,21.7,23.81607,23.73141,23.74765,22.348860000000002,22.90842
2281,99789244631920538895,51.28529,-0.04058,SN,TNS,1,0.0380740840385047,0.152832,22.1,20.74236,19.51661,18.77281,18.37027,18.07018
2291,79158938427388800685,312.80582999999996,-0.95581,SN,TNS,0,0.07575122471955001,0.0,21.5,16.66206,15.56126,15.11527,14.94619,14.868
2296,51570088894706321675,179.11592,39.737970000000004,SN,TNS,1,0.0713338906756358,0.058542,19.1,21.05963,20.57995,20.77409,21.20961,21.82347
2300,88549610440215456418,314.18608,0.40833,SN,TNS,1,0.0534259387471532,0.18814,22.9,22.98742,20.65853,18.93432,18.12799,18.68517
2302,63924987500178336354,55.79192,0.10247,SN,TNS,1,0.0922930197895757,0.106394,20.0,19.09208,17.77828,17.04349,16.621270000000003,16.33734
2322,42023577461257798043,160.06392,18.27806,SN,TNS,1,0.0299363875817067,0.110037,19.6,20.64376,19.715020000000003,19.38014,19.2783,19.30871
2334,77537218636316286928,29.472920000000002,-0.53414,SN,TNS,1,0.0489349407205386,0.34656,21.7,21.0271,20.565820000000002,19.709139999999998,19.34737,18.89913
2336,54364130160600754814,38.86092,1.07489,SN,TNS,1,0.0242256541868034,0.1064,20.9,18.98388,17.27273,16.34809,15.91649,15.56797
2340,52956813024853677160,214.93829,52.54046999999999,SN,TNS,1,0.0284089090543245,0.412221,22.2,25.16985,23.072789999999998,20.97055,20.35548,20.2469
2341,72790233210717970248,198.17129,63.27928000000001,SN,TNS,0,0.0552070763606465,0.0,17.1,24.283089999999998,23.19942,22.39228,22.16207,21.76876
2342,4617134112035744566,359.31904,0.24936,SN,TNS,1,0.0524387760451951,0.32771999999999996,23.0,23.52364,20.69129,18.98116,18.4228,18.00101
2343,39358817117136250210,10.16233,-0.07357999999999999,SN,TNS,1,0.00674628039614298,0.39261599999999997,21.1,23.09836,22.08534,21.25593,20.90213,20.82766
2347,2732902503371670696,146.70617,16.043779999999998,SN,TNS,1,0.0565758016617774,0.043292000000000004,17.3,17.70561,14.00055,13.1935,12.724,13.10422
2353,8861901917160269576,37.57046,-8.67981,SN,TNS,1,0.0929820053936237,0.368169,22.4,24.94321,21.1857,19.43299,18.80276,18.35892
