"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"15743","AT 2016hki","16:38:32.09","-59:41:25.87","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bok","Gaia - Gaia-photometric","","1","1","","17.69","G-Gaia","2016-10-12 05:34:04","Gaia_Bot1",""
"15742","AT 2016hkh","05:53:23.65","+50:22:54.34","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boj","Gaia - Gaia-photometric","","1","1","","18.32","G-Gaia","2016-10-13 01:09:07","Gaia_Bot1",""
"15741","AT 2016hkg","12:38:51.72","-55:40:56.17","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boi","Gaia - Gaia-photometric","","1","1","","16.5","G-Gaia","2016-10-12 11:00:57","Gaia_Bot1",""
"15740","AT 2016hkf","16:50:38.00","-58:41:29.29","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boh","Gaia - Gaia-photometric","","1","1","","18.77","G-Gaia","2016-10-12 09:50:24","Gaia_Bot1",""
"15739","AT 2016hke","07:19:46.13","+32:45:33.37","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bog","Gaia - Gaia-photometric","","1","1","","18.57","G-Gaia","2016-10-13 07:30:43","Gaia_Bot1",""
"15738","AT 2016hkd","19:22:33.95","+66:59:39.23","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erg","PS1 - GPC1","","1","1","","20.17","i-Sloan","2016-10-12 05:24:00","PS1_Bot1",""
"15737","AT 2016hkc","03:53:28.55","+10:57:44.03","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ere","PS1 - GPC1","","1","1","","20.81","w-PS1","2016-10-12 13:56:38","PS1_Bot1",""
"15736","AT 2016hkb","19:10:53.38","+72:49:04.61","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erf","PS1 - GPC1","","1","1","","19.82","i-Sloan","2016-10-12 05:26:52","PS1_Bot1",""
"15735","AT 2016hka","01:54:36.39","-28:52:25.89","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erb","PS1 - GPC1","","1","1","","19.47","i-Sloan","2016-10-10 10:16:19","PS1_Bot1",""
"15734","AT 2016hjz","01:00:47.73","+39:48:40.16","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqz","PS1 - GPC1","","1","1","","20.9","i-Sloan","2016-10-10 08:41:16","PS1_Bot1",""
"15733","AT 2016hjy","02:58:01.29","+37:14:21.55","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erm","PS1 - GPC1","","1","1","","19.32","i-Sloan","2016-10-14 11:58:33","PS1_Bot1",""
"15732","AT 2016hjx","05:23:04.45","-24:39:58.02","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ern","PS1 - GPC1","","1","1","","18.28","i-Sloan","2016-10-14 14:35:31","PS1_Bot1",""
"15731","AT 2016hjw","05:11:35.63","+07:03:42.58","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erl","PS1 - GPC1","","1","1","","20.77","w-PS1","2016-10-13 14:09:36","PS1_Bot1",""
"15730","AT 2016hjv","00:39:46.08","+38:56:33.79","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eri","PS1 - GPC1","","1","1","","20.2","i-Sloan","2016-10-13 08:31:12","PS1_Bot1",""
"15729","AT 2016hju","00:43:56.30","+40:45:45.50","","","","","Pan-STARRS1","","Pan-STARRS1","PS16erj","PS1 - GPC1","","1","1","","20.23","i-Sloan","2016-10-13 08:26:52","PS1_Bot1",""
"15728","AT 2016hjt","16:33:17.03","-59:50:37.39","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bof","Gaia - Gaia-photometric","","1","1","","18.17","G-Gaia","2016-10-12 05:34:04","Gaia_Bot1",""
"15727","AT 2016hjs","21:32:32.54","+15:24:25.24","","","","","GaiaAlerts, Pan-STARRS1","","GaiaAlerts; Pan-STARRS1","Gaia16boe","Gaia - Gaia-photometric, PS1 - GPC1","","1","1","","18.8","G-Gaia","2016-10-12 19:19:12","Gaia_Bot1",""
"15726","AT 2016hjr","17:26:19.87","-54:32:45.74","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bod","Gaia - Gaia-photometric","","1","1","","18.48","G-Gaia","2016-10-12 17:42:43","Gaia_Bot1",""
"15725","AT 2016hjq","18:10:36.44","-50:08:52.87","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boc","Gaia - Gaia-photometric","","1","1","","18.93","G-Gaia","2016-10-12 16:06:14","Gaia_Bot1",""
"15724","AT 2016hjp","20:00:56.83","-22:46:38.06","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bob","Gaia - Gaia-photometric","","1","1","","18.78","G-Gaia","2016-09-19 18:36:00","Gaia_Bot1",""
"15723","AT 2016hjo","20:20:51.46","-12:39:55.15","","","","","GaiaAlerts","","GaiaAlerts","Gaia16boa","Gaia - Gaia-photometric","","1","1","","18.5","G-Gaia","2016-10-13 04:56:38","Gaia_Bot1",""
"15722","AT 2016hjn","03:40:17.98","+49:21:32.15","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bnz","Gaia - Gaia-photometric","","1","1","","13.71","G-Gaia","2016-10-17 12:57:36","Gaia_Bot1",""
"15721","AT 2016hjm","06:42:41.44","+57:18:56.78","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqn","PS1 - GPC1","","1","1","","19.87","i-Sloan","2016-10-16 14:26:52","PS1_Bot1",""
"15720","AT 2016hjl","05:17:41.45","+03:51:50.66","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqk","PS1 - GPC1","","1","1","","21.52","w-PS1","2016-10-13 14:05:16","PS1_Bot1",""
"15719","SN 2016hjk","02:31:43.40","-25:00:05.83","SN Ia-91T-like","0.085","","","Pan-STARRS1","","Pan-STARRS1","PS16eqv","PS1 - GPC1","SALT - RSS","1","1","","19.42","i-Sloan","2016-10-12 10:42:14","PS1_Bot1",""
"15718","AT 2016hjj","22:15:36.62","+79:46:42.41","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqi","PS1 - GPC1","","1","1","","17.89","i-Sloan","2016-10-12 08:11:02","PS1_Bot1",""
"15717","AT 2016hji","01:25:21.47","-25:31:24.15","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqh","PS1 - GPC1","","1","1","","20.1","i-Sloan","2016-10-10 10:12:00","PS1_Bot1",""
"15716","AT 2016hjh","22:47:47.39","-26:13:29.77","","","","","Pan-STARRS1","","Pan-STARRS1","PS16equ","PS1 - GPC1","","1","1","","19.47","i-Sloan","2016-10-19 07:04:48","PS1_Bot1",""
"15715","SN 2016hjg","02:14:50.43","-24:51:05.33","SN IIP","0.0378","","","Pan-STARRS1, GaiaAlerts","","GaiaAlerts; Pan-STARRS1","PS16eqx","PS1 - GPC1, Gaia - Gaia-photometric","Lijiang-2.4m - YFOSC","1","1","","19.15","i-Sloan","2016-10-20 10:35:02","PS1_Bot1",""
"15714","AT 2016hjf","22:26:17.86","-25:12:46.09","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqw","PS1 - GPC1","","1","1","","20.04","i-Sloan","2016-10-19 06:56:09","PS1_Bot1",""
"15713","AT 2016hje","21:18:42.41","-12:35:03.59","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqr","PS1 - GPC1","","1","1","","21.43","w-PS1","2016-10-19 05:35:31","PS1_Bot1",""
"15712","AT 2016hjd","22:14:31.58","-25:21:53.93","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqs","PS1 - GPC1","","1","1","","19.59","i-Sloan","2016-10-19 06:54:43","PS1_Bot1",""
"15711","AT 2016hjc","05:09:37.73","-27:12:02.88","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqp","PS1 - GPC1","","1","1","","19.74","i-Sloan","2016-10-19 13:12:00","PS1_Bot1",""
"15710","AT 2016hjb","05:29:51.44","-25:40:36.54","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqq","PS1 - GPC1","","1","1","","20.43","i-Sloan","2016-10-19 13:14:52","PS1_Bot1",""
"15708","AT 2016hiz","00:34:00.34","+13:32:19.90","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epq","PS1 - GPC1","","1","1","","21","w-PS1","2016-10-06 11:05:16","PS1_Bot1",""
"15707","AT 2016hiy","22:56:54.67","-26:19:03.07","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epx","PS1 - GPC1","","1","1","","21.08","w-PS1","2016-10-06 07:43:40","PS1_Bot1",""
"15706","AT 2016hix","23:12:48.38","+26:32:54.28","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqf","PS1 - GPC1","","1","1","","20.9","i-Sloan","2016-10-09 06:12:57","PS1_Bot1",""
"15705","AT 2016hiw","00:23:30.75","+16:57:53.08","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqe","PS1 - GPC1","","1","1","","19.14","i-Sloan","2016-10-09 07:17:45","PS1_Bot1",""
"15704","AT 2016hiv","22:21:38.40","-08:25:04.18","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epv","PS1 - GPC1","","1","1","","20.86","w-PS1","2016-10-06 08:35:31","PS1_Bot1",""
"15703","AT 2016hiu","22:14:05.45","-10:17:20.58","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epu","PS1 - GPC1","","1","1","","20.97","w-PS1","2016-10-06 08:51:21","PS1_Bot1",""
"15702","AT 2016hit","22:56:13.94","-26:55:44.79","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epw","PS1 - GPC1","","1","1","","20.84","w-PS1","2016-10-06 07:43:40","PS1_Bot1",""
"15701","AT 2016his","23:35:51.78","-00:30:13.46","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqb","PS1 - GPC1","","1","1","","20.21","i-Sloan","2016-10-08 07:35:02","PS1_Bot1",""
"15700","AT 2016hir","22:13:51.23","-08:36:56.77","","","","","Pan-STARRS1","","Pan-STARRS1","PS16ept","PS1 - GPC1","","1","1","","21.43","w-PS1","2016-10-06 08:51:21","PS1_Bot1",""
"15699","AT 2016hiq","01:41:19.59","+15:13:45.12","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eps","PS1 - GPC1","","1","1","","21","w-PS1","2016-10-06 12:23:02","PS1_Bot1",""
"15698","AT 2016hip","02:33:47.58","+28:02:32.60","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqa","PS1 - GPC1","","1","1","","21.26","w-PS1","2016-10-08 09:37:26","PS1_Bot1",""
"15697","AT 2016hio","00:57:23.98","+14:26:14.25","","","","","Pan-STARRS1","","Pan-STARRS1","PS16epr","PS1 - GPC1","","1","1","","21.14","w-PS1","2016-10-06 11:26:52","PS1_Bot1",""
"15696","AT 2016hin","23:50:45.91","+06:55:13.41","","","","","Pan-STARRS1","","Pan-STARRS1","PS16eqc","PS1 - GPC1","","1","1","","20.8","i-Sloan","2016-10-08 07:37:55","PS1_Bot1",""
"15690","AT 2016hih","04:51:41.70","-06:13:55.60","","","IC2101","","","","","","Other - Other","","1","1","","16.5","Clear-","2016-10-22 19:25:18","Yamakami",""
"15689","AT 2016hig","10:27:05.82","-43:43:41.48","","","","","GaiaAlerts","","GaiaAlerts","Gaia16bny","Gaia - Gaia-photometric","","1","1","","15.54","G-Gaia","2016-10-17 04:42:14","Gaia_Bot1",""
