id,label,ra,dec,mag
1903650953691366108,SN,35.7895,-32.87228,18.2
31182511637622753483,SN,12.30579,-25.69683,18.4
66230183529897015483,SN,52.83596,4.13182,19.447
9385507095632238149,SN,53.85187,6.09256,19.518
86865878816701945085,SN,356.20546,-12.73301,19.862
8094697642794822329,SN,139.187,18.95447,18
81418070923499756438,SN,83.52942,-29.60986,17.4
20631638842455110024,SN,162.97092,51.00803,16.9
37840788058712777298,SN,318.47083,2.22056,18.2
24207202157664812882,SN,116.71279,15.39912,17.64
61512858638149943298,SN,111.07179,10.26661,18.52
25090463998667091866,SN,145.37879,-11.19949,18.224
2227785159901482906,SN,70.50717,-3.14369,19.147
69419792644156016566,SN,183.11254,29.14935,15.2
55491234364555495103,SN,75.834,18.45087,17.884
20005417002195308567,SN,162.20638,-4.27054,18.275
22082053591169612247,SN,147.331,10.53504,19.261
48560337718302888222,SN,40.91917,-24.19802,18.547
72145862754106674373,SN,134.36929,28.61664,17.5
62539805539962273544,SN,38.04312,4.07775,19.25
15142009437881255144,SN,33.34958,3.39322,19.68
34994376972820917459,SN,64.68146,26.93139,18.5
29874995604209723576,SN,313.95308,-51.1744,17.58
37570156349417100665,SN,175.70771,77.37026,15.8
13746274219539684006,SN,186.38392,50.03515,16.9
54427566850488670062,SN,42.72929,-2.1351,20.072
92832841415161740454,SN,313.37783,-10.05301,19.057
83529629653525154819,SN,98.76483,50.44108,18
7619457622280429509,SN,355.75517,18.99456,19.199
22311651890235768875,SN,23.30517,-17.52548,18.9
47395621727977794169,SN,99.6565,26.50514,18.77
99969587467958757734,SN,36.14729,-11.75048,18.527
78333398466239359367,SN,129.422,53.46123,19.11
35623049846177106394,SN,104.91287,44.90023,20.15
79608978163777426852,SN,31.32554,53.20373,17.3
12049467323967528902,SN,101.94646,31.33698,18.484
47631586179159697427,VS,73.95292,6.16296,16.914
82219528193001334535,SN,312.53133,5.98581,19.085
73746924145975900749,SN,68.27483,-26.12793,17.5
33378905472061735966,SN,71.78821,-16.34503,17.8
79806409318896310024,SN,14.53421,-10.12045,17.9
20693214585893777625,SN,109.55304,47.0421,18.088
16641483954920008555,SN,39.61254,-8.03603,18.632
68800740600576280639,SN,110.11583,56.13534,18.34
76896716191917873823,SN,107.67113,6.4615,18.465
12773143367550178686,SN,32.38758,21.24912,19.44
62790979147033574994,SN,350.08779,-34.62448,17.2
75321438003656108988,SN,53.54587,-13.93582,17.7
66606112055185642560,SN,20.75625,-21.2927,17.6
49496391534094481252,SN,323.19054,24.14069,17
89793560466175366288,SN,326.09587,-29.91655,17.3
53584197107429479438,SN,44.865,14.79376,19.2
94227462401925437858,SN,55.6055,-55.02006,17.1
77894592985308307964,SN,45.70883,5.48502,18.3
79970859118920137037,SN,331.71637,-5.95145,17.6
