ID,RA,DEC,Label,Redshift,Host Redshift,Discovering Group/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag,Discovery Mag Filter,Discovery Date (UT),Sender,Ext. catalog/s,SDSS objid,SDSS type,SDSS distance,SDSS ra,SDSS dec,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,SDSS obj,SDSS run,SDSS rerun,SDSS field,SDSS camcol
1845,140.907,29.87389,SN,,,,,,,,,0,1,,23.8,,12/21/2000 0:00,,,1.24E+18,3,0.078973473,140.9085126,29.87377982,21.651,21.59637,20.74349,20.05449,19.76488,329,4335,301,202,1
1843,344.60558,26.64072,SN,,,,,,,,,0,1,,16.5,,12/21/2000 0:00,,,1.24E+18,3,0.015211752,344.6052968,26.64073489,23.56698,22.77116,23.78786,20.87868,22.8269,105,6354,301,148,3
1832,7.30037,33.10819,SN,,,,,,,,,0,1,,17.7,,12/8/2000 0:00,,,1.24E+18,3,0.002616802,7.300397316,33.10815287,24.19689,22.60655,22.54194,23.59701,21.85746,371,6426,301,15,3
1826,349.855,5.90586,SN,,,,,,,,,0,1,,16.2,,11/11/2000 0:00,,,1.24E+18,3,0.020939148,349.854658,5.905937828,16.03979,14.66254,14.10728,13.74859,13.46433,40,7754,301,247,6
1821,125.31337,1.15703,SN,,,,,,,,,0,1,,19.4,,11/17/2000 0:00,,,1.24E+18,3,0.084917771,125.3135016,1.155620832,18.582,16.86958,16.13004,15.77896,15.54481,739,756,301,63,6
1818,315.99154,-9.69217,SN,,,,,,,,,0,1,,20.5,,11/17/2000 0:00,,,1.24E+18,3,0.099568953,315.9908231,-9.690668499,23.877,22.46255,21.75805,21.02199,20.24531,1290,4822,301,120,5
1815,10.78487,-0.38822,SN,,,,,,,,,0,1,,20.2,,11/16/2000 0:00,,,1.24E+18,3,0.121676178,10.78348565,-0.389701955,23.57694,23.30144,21.93683,22.10154,21.32183,1079,4263,301,188,3
1811,320.06525,-4.87792,SN,,,,,,,,,0,1,,18,,11/2/2000 0:00,,,1.24E+18,3,0.087111627,320.0652048,-4.876468837,15.71893,13.79515,12.8823,12.42624,12.11765,205,8095,301,34,5
1808,37.58771,1.06347,SN,,,,,,,,,0,1,,22.5,,10/21/2000 0:00,,,1.24E+18,3,0.013240413,37.58783001,1.063284801,23.91017,23.16365,21.25474,20.56774,20.09441,101,7675,301,119,1
1806,36.89388,1.19706,SN,,,,,,,,,0,1,,22.6,,10/21/2000 0:00,,,1.24E+18,6,0.007691602,36.89376907,1.197124284,23.67025,25.25917,23.7976,22.45057,23.56264,1170,7675,301,115,1
